STAID,STANAME,DRAIN_SQKM,STOR_NID_2009_MM3,RUNAVE7100_MM3,STO_RATIO,ROADS_KM_SQ_KM,RD_STR_INTERS,IMPNLCD06,NLCD01_06_DEV
01059000,"Androscoggin River near Auburn, Maine",8444.24,1595.36,5869.239944,0.27,0.949,0.320,0.854,0.043
01059800,"Collyer Brook near Gray, Maine",35.3142,0.00,20.4116076,0.00,2.255,0.680,4.058,0.041
01060000,"Royal River at Yarmouth, Maine",364.8285,1.85,212.7180362,0.01,1.791,0.543,1.985,0.100
01064000,"PRESUMPSCOT RIVER AT OUTLET OF SEBAGO LAKE, ME",1145.668,474.60,666.6062384,0.71,1.673,0.464,0.921,0.036
01064118,"Presumpscot River at Westbrook, Maine",1554.034,496.47,902.9922798,0.55,1.825,0.538,1.751,0.157
01064300,"ELLIS RIVER NEAR JACKSON, NH",27.4338,0.00,20.44018915,0.00,0.211,0.098,0.718,0.000
01064400,"LUCY BROOK NEAR NORTH CONWAY, NH",12.1707,0.00,9.0915129,0.00,0.045,0.000,0.003,0.000
01064500,"Saco River near Conway, NH",993.6964,2.08,742.2778953,0.00,0.876,0.334,0.785,0.112
01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",173.4003,0.00,129.4248568,0.00,0.793,0.305,0.173,0.000
01065000,"OSSIPEE RIVER AT EFFINGHAM FALLS, NH",855.2583,75.78,637.3139392,0.12,1.203,0.416,0.635,0.000
01065500,"OSSIPEE RIVER AT CORNISH, ME",1172.306,80.56,874.1486086,0.09,1.278,0.468,0.708,0.000
01066000,"Saco River at Cornish, Maine",3354.558,149.79,2502.511338,0.06,1.156,0.404,0.680,0.040
01066500,"LITTLE OSSIPEE RIVER NEAR SOUTH LIMINGTON, ME",423.9324,14.61,316.0403748,0.05,1.909,0.577,1.049,0.000
01067950,"Kennebunk River near Kennebunk, Maine",71.5041,0.00,44.10360732,0.00,1.708,0.348,1.124,0.000
01068910,"Mousam River at Route 4 near Sanford, Maine",117.3636,60.70,72.10332525,0.84,2.529,0.738,3.702,0.014
01069500,"MOUSAM RIVER NEAR WEST KENNEBUNK, ME",264.5136,70.65,164.3968688,0.43,2.146,0.639,2.610,0.023
01069700,"Branch Brook near Kennebunk, Maine",27.9072,0.00,17.1071136,0.00,1.549,0.467,5.616,0.000
01072500,"SALMON FALLS RIVER NEAR SOUTH LEBANON, ME",359.8155,65.07,220.7858492,0.29,1.826,0.567,1.766,0.059
01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",243.9549,19.09,149.2846149,0.13,2.079,0.972,3.572,0.247
01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",191.9754,30.86,117.0990044,0.26,1.759,0.899,1.138,0.022
01073000,"OYSTER RIVER NEAR DURHAM, NH",31.2984,0.00,19.1859192,0.00,2.130,0.803,2.154,0.000
01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",144.3951,0.66,85.40158665,0.01,1.207,0.634,1.139,0.000
01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",471.1374,27.47,285.4244126,0.10,1.737,0.641,1.699,0.092
010735562,"EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH",42.7194,0.21,25.76451869,0.01,2.486,0.815,2.728,0.263
01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",163.053,0.85,99.38522224,0.01,2.196,0.826,2.612,0.091
01073600,"DUDLEY BROOK NEAR EXETER, NH",16.3845,0.32,10.0436985,0.03,1.689,0.823,3.164,0.044
01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",36.9495,0.17,22.6500435,0.01,2.417,0.707,5.913,0.302
01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",297.1881,0.07,230.7210602,0.00,0.205,0.066,0.137,0.000
01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",504.288,0.23,391.5302622,0.00,0.409,0.162,0.703,0.035
01075800,"STEVENS BROOK NEAR WENTWORTH, NH",7.6743,0.00,5.9706054,0.00,0.249,0.000,0.008,0.000
01076000,"BAKER RIVER NEAR RUMNEY, NH",369.8154,15.88,285.322862,0.06,0.856,0.424,0.339,0.001
01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",1608.937,28.66,1248.787554,0.02,0.791,0.372,0.645,0.038
01077000,"SQUAM RIVER AT ASHLAND, NH",150.2946,50.03,116.0597896,0.43,1.810,0.514,0.261,0.000
01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",56.1951,0.17,43.7197878,0.00,0.545,0.291,0.077,0.000
01078000,"SMITH RIVER NEAR BRISTOL, NH",222.4566,1.76,171.0188947,0.01,1.408,0.613,0.456,0.000
01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",1216.967,354.07,672.7276747,0.53,1.941,0.573,1.582,0.148
01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",3908.064,792.34,2737.988466,0.29,1.365,0.503,0.991,0.070
01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",175.023,8.88,99.17279243,0.09,1.994,0.677,1.377,0.026
01083000,NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH,116.8506,58.75,66.14475445,0.89,1.722,0.502,0.470,0.000
01084000,"NORTH BRANCH RIVER NEAR ANTRIM, NH",140.0814,4.72,79.59701108,0.06,1.311,0.522,0.495,0.000
01084500,"BEARD BROOK NEAR HILLSBORO, NH",143.8074,2.19,81.251181,0.03,1.215,0.506,0.320,0.020
01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",950.0697,105.83,537.6015951,0.20,1.700,0.616,1.054,0.071
01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",1099.139,273.91,621.7480896,0.44,1.694,0.637,1.122,0.091
01085800,"WEST BRANCH WARNER RIVER NEAR BRADFORD, NH",14.7681,0.00,8.345414913,0.00,0.830,0.481,0.178,0.000
01086000,"WARNER RIVER AT DAVISVILLE, NH",381.5766,7.90,215.4885546,0.04,1.682,0.764,1.114,0.000
01087000,"BLACKWATER RIVER NEAR WEBSTER, NH",331.8507,123.67,188.6917682,0.66,1.277,0.572,0.578,0.000
01088000,"CONTOOCOOK RIVER AT PENACOOK, NH",1975.255,409.64,1117.733201,0.37,1.633,0.644,1.091,0.056
01089000,"SOUCOOK RIVER NEAR CONCORD, NH",201.0753,1.84,110.591415,0.02,1.776,0.688,1.143,0.074
01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",214.1253,2.10,117.768915,0.02,1.800,0.729,1.726,0.161
01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",400.7988,21.46,220.6045493,0.10,1.598,0.609,0.732,0.000
01090800,"PISCATAQUOG RIVER BL EVERETT DAM, NR E WEARE, NH",163.1421,178.62,89.82351156,1.99,1.918,0.841,0.840,0.000
01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",266.7591,1.26,146.7716037,0.01,1.988,0.845,0.874,0.000
01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",519.1128,185.27,285.6628423,0.65,1.979,0.817,1.112,0.042
01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",7987.65,1446.99,5013.688152,0.29,1.631,0.616,1.726,0.140
01093000,"SUCKER BROOK AT AUBURN, NH",77.7456,7.18,42.85596365,0.17,1.986,1.113,2.174,0.190
01093800,"STONY BROOK TRIBUTARY NEAR TEMPLE, NH",9.3897,0.00,5.167952851,0.00,0.794,0.931,0.151,0.000
01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH",263.7036,33.74,145.0824161,0.23,1.981,0.988,1.382,0.004
01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",440.5014,34.31,242.2519389,0.14,2.316,0.963,2.997,0.459
01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",166.1607,23.33,82.76173686,0.28,2.693,1.108,6.181,0.526
01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",279.657,41.12,138.828922,0.30,3.268,1.121,11.044,0.839
01095220,"STILLWATER RIVER NEAR STERLING, MA",78.68936,2.18,38.84759144,0.06,1.676,0.811,1.559,0.000
01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",115.1919,30.87,57.00643241,0.54,2.141,0.819,4.203,1.029
01095505,"NASHUA RIVER 0.4 MI UPSTREAM RT 110 AT CLINTON, MA",322.7157,318.37,159.9987328,1.99,2.071,0.820,4.144,0.517
01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",173.1357,6.06,85.79105937,0.07,2.027,0.840,2.157,0.000
01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",1125.681,390.94,557.864202,0.70,2.687,0.942,6.582,0.846
01096503,"NISSITISSIT RIVER AT PEPPERELL, MA",155.7549,1.30,77.25620601,0.02,1.907,0.716,1.543,0.180
010965852,"BEAVER BROOK AT NORTH PELHAM, NH",123.0804,2.28,67.74816614,0.03,3.805,1.257,13.213,0.871
010965995,"ASSABET RIVER, MILL ROAD NEAR WESTBORO, MA",17.7714,4.19,10.92081675,0.38,2.744,2.101,9.890,5.738
01096835,"ASSABET RIVER AT PORT ST AT HUDSON, MA",154.1547,22.00,93.40308809,0.24,3.403,1.411,14.362,3.492
01096840,"ASSABET RIVER 200 FT BELOW RT 85 AT HUDSON, MA",163.6155,23.94,99.16472034,0.24,3.470,1.449,14.430,3.376
01096885,"ASSABET RIVER AT SUDBURY RD NEAR STOW, MA",224.5284,32.16,136.2535327,0.24,3.656,1.460,14.679,2.942
01097000,"ASSABET RIVER AT MAYNARD, MA",299.3094,42.76,181.4814657,0.24,3.456,1.381,12.401,2.517
01097300,"NASHOBA BROOK NEAR ACTON, MA",30.8718,0.09,18.73152639,0.00,2.795,0.715,11.043,6.090
01097380,"NASHOBA BROOK, COMMONWEALTH AVE AT W. CONCORD, MA",120.4119,4.22,73.22852107,0.06,3.434,1.098,10.379,2.849
01097480,"SUDBURY RIVER AT ASHLAND, MA",90.8289,14.17,55.4342946,0.26,3.274,0.755,11.710,2.577
01098530,"SUDBURY RIVER AT SAXONVILLE, MA",274.2327,87.59,166.9233603,0.52,4.332,1.172,18.880,2.693
01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",1035.51,140.51,629.2893679,0.22,3.952,1.234,14.364,2.234
01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",11983.35,2094.80,7195.880643,0.29,2.158,0.770,4.421,0.604
01100505,"SPICKET RIVER AT NORTH SALEM, NH",42.8643,6.63,23.64572675,0.28,2.916,1.019,4.758,0.122
01100561,"SPICKET RIVER NEAR METHUEN, MA",158.2974,16.67,87.13393319,0.19,3.563,1.268,11.400,1.711
01100600,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",96.4215,0.26,53.33281435,0.00,5.708,1.697,26.875,2.031
01100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",173.1114,4.23,95.7034084,0.04,5.380,1.670,26.211,4.272
01101000,"PARKER RIVER AT BYFIELD, MA",55.4778,1.64,28.44129888,0.06,2.785,0.989,4.689,0.719
01101344,"IPSWICH RIVER AT MILL STREET NR NORTH READING, MA",58.0671,6.46,29.83718705,0.22,5.597,1.387,25.748,6.242
01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",115.2826,8.43,58.91986473,0.14,4.885,1.249,19.553,5.006
01102000,"IPSWICH RIVER NEAR IPSWICH, MA",316.4265,29.62,161.4769046,0.18,3.726,0.976,13.053,3.788
01102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",60.3816,14.38,30.7342344,0.47,7.233,1.656,29.697,1.824
01102500,"ABERJONA RIVER AT WINCHESTER, MA",59.74671,2.98,30.480752,0.10,7.916,2.324,41.936,1.450
01103025,"ALEWIFE BROOK NEAR ARLINGTON, MA",21.5235,0.00,10.9554615,0.00,12.872,1.296,51.434,0.163
01103220,"MISCOE BROOK NEAR FRANKLIN, MA",3.033,0.00,1.994003085,0.00,1.740,0.349,3.988,4.659
01103280,"CHARLES RIVER AT MEDWAY, MA",169.119,4.12,87.75801382,0.05,3.942,1.376,16.765,4.636
01103455,"TROUT BROOK AT DOVER, MA",9.7065,0.00,4.9406085,0.00,2.465,0.631,3.393,0.000
01103500,"CHARLES RIVER AT DOVER, MA",473.3199,12.42,243.8811551,0.05,3.806,1.208,12.552,3.038
01104200,"CHARLES RIVER AT WELLESLEY, MA",548.3745,13.20,282.0839525,0.05,4.255,1.182,14.414,2.827
01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",17.4951,21.58,9.048435978,2.38,4.121,0.818,17.816,1.425
01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",57.1176,22.51,29.58444361,0.76,3.822,1.063,12.403,1.681
01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",2.0808,0.00,1.0591272,0.00,4.255,3.222,8.498,0.346
01104500,"CHARLES RIVER AT WALTHAM, MA",647.4123,48.47,333.4168166,0.15,4.447,1.228,14.996,2.615
01105000,"NEPONSET RIVER AT NORWOOD, MA",84.8778,5.28,43.2146746,0.12,4.240,1.273,16.870,2.991
01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",60.7122,3.81,31.04331961,0.12,5.216,1.592,21.473,3.091
01105554,"NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA",220.7016,13.67,112.5901267,0.12,4.707,1.273,21.011,2.700
011055566,"NEPONSET RIVER AT MILTON VILLAGE, MA",271.8387,18.87,138.6188986,0.14,5.255,1.301,22.546,2.446
01105583,"MONATIQUOT RIVER AT EAST BRAINTREE, MA",73.5768,5.28,37.9156628,0.14,6.197,1.626,28.000,1.695
01105585,"TOWN BROOK AT QUINCY, MA",11.1312,0.68,5.6657808,0.12,9.566,3.862,51.251,2.078
01105600,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",12.6603,0.00,6.498585163,0.00,5.420,1.644,27.295,4.258
01105638,"WEIR RIVER AT LEAVITT STREET AT HINGHAM, MA",39.2292,1.48,20.03831459,0.07,3.443,1.250,12.424,3.267
01105730,"INDIAN HEAD RIVER AT HANOVER, MA",79.5672,2.47,54.76888066,0.05,3.908,1.234,16.913,4.856
01105870,"JONES RIVER AT KINGSTON, MA",55.1439,5.78,38.57988009,0.15,2.653,0.593,5.801,5.170
011058756,"EEL RIVER AT RUSSELL MILL RD NEAR PLYMOUTH, MA",11.502,0.37,8.0514,0.05,4.335,0.351,9.680,5.869
01105876,"EEL RIVER AT RT 3A NEAR PLYMOUTH, MA",34.9497,0.67,24.46479,0.03,3.373,1.572,8.340,5.222
01105880,"HERRING RIVER AT NORTH HARWICH, MA",25.5222,0.00,17.86554,0.00,5.323,0.753,6.954,0.000
01105917,"MATTAPOISETT RIVER NEAR MATTAPOISETT, MA",61.272,0.31,42.85635728,0.01,1.538,0.427,1.745,0.060
01105933,"PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA",68.0985,1.14,47.66803067,0.02,3.362,0.683,14.774,2.527
01106000,"ADAMSVILLE BROOK AT ADAMSVILLE, RI",22.06624,0.02,15.42741972,0.00,1.938,0.836,2.834,0.020
01106500,"MATFIELD RIVER AT ELMWOOD, MA",104.4702,4.07,69.25791316,0.06,5.995,1.730,27.674,3.219
01108000,"TAUNTON RIVER NEAR BRIDGEWATER, MA",677.6388,112.42,453.5231164,0.25,3.202,1.008,10.966,2.650
01108320,"CANOE RIVER NEAR NORTON, MA",57.8601,3.37,37.23858099,0.09,3.376,0.964,10.522,3.898
01108410,"MILL RIVER AT SPRING STREET AT TAUNTON, MA",122.022,8.07,80.00113743,0.10,3.131,0.966,10.661,3.168
01108500,"WADING RIVER AT WEST MANSFIELD, MA",51.7797,2.84,33.03062273,0.09,3.117,1.279,11.164,2.578
01109000,"WADING RIVER NEAR NORTON, MA",112.7429,4.36,73.75498462,0.06,2.891,1.044,10.495,2.660
01109060,"THREEMILE RIVER AT NORTH DIGHTON, MA",220.1049,14.16,145.1400104,0.10,3.265,1.044,12.467,3.225
01109070,"SEGREGANSET RIVER NEAR DIGHTON, MA",27.1674,0.05,18.1478232,0.00,1.808,0.814,4.311,1.063
01109090,"RATTLESNAKE BROOK NEAR ASSONET, MA",12.771,0.00,8.581456848,0.00,1.096,0.655,0.460,0.000
01109220,"PALMER RIVER AT SOUTH REHOBOTH, MA",78.93089,0.47,52.72583452,0.01,2.080,0.898,4.082,0.937
01109403,"TEN MILE RIVER AT PAWTUCKET AVE @ E PROVIDENCE, RI",137.592,22.89,92.03510993,0.25,5.380,1.544,23.791,4.162
01109500,"KETTLE BROOK AT WORCESTER, MA",82.224,31.47,57.32302895,0.55,3.483,1.073,9.840,0.751
01109730,"BLACKSTONE RIVER, W. MAIN ST., AT MILLBURY, MA",185.7519,42.62,128.837555,0.33,5.594,1.495,21.884,1.711
01110000,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",66.08279,3.72,45.95713753,0.08,5.867,1.337,26.991,2.873
01110500,"BLACKSTONE RIVER AT NORTHBRIDGE, MA",363.5217,55.23,252.8118933,0.22,5.002,1.373,20.117,2.488
01111050,"MUMFORD RIVER AT UXBRIDGE, MA",145.3851,24.42,101.7190487,0.24,2.375,0.884,4.497,0.966
01111200,"WEST RIVER BELOW WEST HILL DAM, NR UXBRIDGE, MA",72.3798,37.32,50.65758699,0.74,2.149,0.983,3.165,1.495
01111212,"BLACKSTONE RIVER, RT 122 BRIDGE NEAR UXBRIDGE, MA",631.4301,124.95,440.2523875,0.28,3.870,1.133,13.471,2.001
01111225,"EMERSON BROOK NEAR UXBRIDGE, MA",18.0576,0.27,12.64032,0.02,1.894,0.705,1.964,0.000
01111300,"NIPMUC RIVER NEAR HARRISVILLE, RI",41.0625,0.07,28.73286433,0.00,1.625,0.755,1.090,0.000
01111500,"BRANCH RIVER AT FORESTDALE, RI",237.2391,37.44,165.8492998,0.23,2.222,0.781,3.284,0.179
01112500,"BLACKSTONE RIVER AT WOONSOCKET, RI",1047.424,173.13,730.8041694,0.24,3.398,1.000,10.528,1.581
01113695,"CATAMINT BROOK AT CUMBERLAND, RI",10.6497,0.30,7.394280535,0.04,2.610,1.059,5.383,1.597
01113895,BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI,1247.535,212.21,869.8587492,0.24,3.517,1.046,11.598,1.927
01114000,"MOSHASSUCK RIVER AT PROVIDENCE, RI",60.42774,3.61,40.50516129,0.09,8.188,1.906,37.287,3.309
01114500,"WOONASQUATUCKET RIVER AT CENTERDALE, RI",98.8735,15.61,66.17245433,0.24,3.377,1.289,11.607,2.366
01115098,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",13.3569,0.69,8.946053584,0.08,1.972,0.796,2.128,0.000
01115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",38.8251,4.64,26.09057979,0.18,1.722,0.764,1.155,0.000
01115630,"NOOSENECK RIVER AT NOOSENECK, RI",21.7368,0.00,14.57190729,0.00,1.877,1.058,2.363,0.000
01115670,"CONGDON RIVER NEAR NOOSENECK, RI",10.899,0.29,7.297725173,0.04,1.866,0.468,1.827,0.000
01115770,"CARR RIVER NEAR NOOSENECK, RI",18.9081,2.19,12.64486751,0.17,1.290,0.308,4.644,1.647
01116000,"SOUTH BRANCH PAWTUXET RIVER AT WASHINGTON, RI",168.2577,20.34,112.6007281,0.18,2.265,0.579,4.847,1.208
01116500,"PAWTUXET RIVER AT CRANSTON, RI",525.0195,252.78,351.1791383,0.72,2.783,0.858,8.222,1.679
01116905,"HUNT R 250 FT DS FRY BRK AT FRENCHTOWN, RI",40.7619,0.00,27.26878173,0.00,2.729,0.997,10.016,4.935
01117000,"HUNT RIVER NEAR EAST GREENWICH, RI",59.6844,0.08,39.90901257,0.00,3.427,1.315,14.760,5.033
